ZIPCODE,UnemploymentRate,EvictionsSince2017,EvictionRate,RentBurden,MedianRent2012,MedianRent2016,MedianRent2019,Change2012_2019,Change2016_2019,PctWith1.5OrMorePerRoom,WorkingPop,NumInConst,% In Construction,NumInManu,% In Manufacturing,%InTradeTransit,NumInTradeTransit,NumInIT,% In IT,NumInFinance,% In Finance,NumInSW,% In Social Work,NumInArt,% In Arts,ZIP
11223,0.08,287,0.015949761031455,49.7,1621,2133,2030,409,-103,4.2,37882.1316,1.89E+03,0.05,3.90E+03,0.10,0.20,7.57E+03,1.05E+03,0.03,4.55E+03,0.12,7.38E+03,0.19,2.79E+03,0.07,11223
11224,0.13,347,0.025661884336637,40.6,1580,2257,2171,591,-86,2.5,21219.352,9.34E+02,0.04,1.28E+03,0.06,0.18,3.84E+03,7.49E+02,0.04,2.30E+03,0.11,6.41E+03,0.30,1.08E+03,0.05,11224
11225,0.13,600,0.029515938606848,45.1,1646,2286,2260,614,-26,2.3,38812.8564,1.68E+03,0.04,1.95E+03,0.05,0.14,5.62E+03,1.44E+03,0.04,3.61E+03,0.09,1.33E+04,0.34,2.44E+03,0.06,11225
11226,0.14,1244,0.038670769995959,47.2,1656,2168,2116,460,-52,6.1,65167.9406,3.25E+03,0.05,3.79E+03,0.06,0.17,1.11E+04,2.29E+03,0.04,5.62E+03,0.09,2.11E+04,0.32,4.27E+03,0.07,11226
11228,0.06,82,0.011948127640973,50.5,1633,2223,2147,514,-76,1.8,22051.7232,1.38E+03,0.06,1.65E+03,0.07,0.16,3.43E+03,9.48E+02,0.04,2.79E+03,0.13,5.47E+03,0.25,1.46E+03,0.07,11228
11229,0.06,301,0.018415417558887,45.5,1610,2104,2043,433,-61,2.3,42170.019,1.85E+03,0.04,3.31E+03,0.08,0.17,7.26E+03,1.85E+03,0.04,4.65E+03,0.11,1.09E+04,0.26,2.32E+03,0.06,11229
11230,0.08,377,0.017549576389536,54.4,1627,2152,2028,401,-124,5.3,45213.5372,2.17E+03,0.05,2.71E+03,0.06,0.17,7.84E+03,1.47E+03,0.03,5.15E+03,0.11,1.22E+04,0.27,2.73E+03,0.06,11230
11231,0.07,84,0.007790039877585,30.4,2233,2903,2811,578,-92,2.5,21967.2788,7.60E+02,0.03,9.82E+02,0.04,0.11,2.41E+03,2.45E+03,0.11,2.33E+03,0.11,4.62E+03,0.21,2.21E+03,0.10,11231
11232,0.09,71,0.010773899848255,48.6,1732,2287,2209,477,-78,7.8,14496.3567,9.60E+02,0.07,2.18E+03,0.15,0.18,2.57E+03,4.07E+02,0.03,1.12E+03,0.08,2.14E+03,0.15,1.59E+03,0.11,11232
11233,0.08,1131,0.049850141043724,48.9,1603,2230,2314,711,84,2.2,32253.773,1.29E+03,0.04,1.52E+03,0.05,0.17,5.38E+03,1.02E+03,0.03,2.82E+03,0.09,9.20E+03,0.29,1.69E+03,0.05,11233
11235,0.07,440,0.022565259756911,49.8,1634,2151,2087,453,-64,5.3,38942.3628,2.08E+03,0.05,2.76E+03,0.07,0.18,6.90E+03,1.09E+03,0.03,4.89E+03,0.13,1.01E+04,0.26,2.23E+03,0.06,11235
11237,0.02,223,0.014795647558387,50.4,1705,2469,2420,715,-49,4.6,26514.111,1.66E+03,0.06,5.24E+03,0.20,0.19,4.98E+03,5.91E+02,0.02,1.52E+03,0.06,4.41E+03,0.17,2.35E+03,0.09,11237
11238,0.10,266,0.015448051570939,33.4,2109,2792,2637,528,-155,2,32821.2395,7.75E+02,0.02,1.00E+03,0.03,0.13,4.37E+03,2.79E+03,0.09,3.29E+03,0.10,8.49E+03,0.26,2.42E+03,0.07,11238
